pickup_datetime,passenger_count,trip_distance,total_amount,duration,n_trips
2023-09-30,2834965,3460189.95,43351361.13,26063205.75,2179200
2023-10-31,3576133,4382900.21,54676872.61,33019153.25,2736389
2023-11-30,3427883,4139501.57,51979545.55,31352580.266666666,2616757
2023-12-31,3541070,4167204.54,51955671.11,31223326.766666666,2625768
2024-01-31,3104773,3883527.49,46044469.28,26269183.2,2409342
2024-02-29,3124501,3959766.71,47253940.4,27473636.983333334,2448952
2024-03-31,3628203,4703052.88,55237790.42,32657199.616666667,2858661
2024-04-30,3513134,4646128.88,54112655.33,32267511.95,2777362
2024-05-31,3665269,4793006.98,57431400.26,34537477.06666667,2899539
2024-06-30,3518328,4602663.12,54274764.28,32279332.583333332,2767032
2024-07-31,3073970,3958011.44,46336627.14,27353673.816666666,2389751
2024-08-31,2965596,3799140.73,44434461.21,26130615.183333334,2299001
